FIPS,PST045211,POP010210,POP050210,POP010200,AGE115210,AGE275210,AGE765210,SEX205210,RHI105210,RHI205210,RHI305210,RHI405210,RHI505210,RHI605210,RHI705210,RHI805210,POP715210,POP645210,POP815210,EDU635210,EDU685210,VET605210,LFE305210,HSG030210,HSG445210,HSG096210,HSG495210,HSD410210,HSD310210,INC910210,INC110210,PVY020210,BZA010209,BZA110209,BZA115209,NES010209,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030210,FED110209,LND110210,POP060210
00000,311591917,308745538,9.7,281421906,6.5,24.0,13.0,50.8,72.4,12.6,0.9,4.8,0.2,2.9,16.3,63.7,84.2,12.7,20.1,85.0,27.9,22652496,25.2,131704730,66.6,25.9,188400,114235996,2.59,27334,51914,13.8,7433465,114509626,0.4,21090761,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5338306501,4174286516,3917663456,12990,613795732,604610,3175336050,3531905.43,87.4
01000,4802740,4779736,7.5,4447100,6.4,23.7,13.8,51.5,68.5,26.2,0.6,1.1,0.1,1.5,3.9,67.0,84.3,3.4,4.9,81.4,21.7,408032,23.9,2171853,71.1,15.5,117600,1821210,2.53,22984,42081,17.1,100805,1612258,-2.5,305420,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,11261,56047825,50645.33,94.4
01001,0,54571,25.0,43671,6.6,26.8,12.0,51.3,78.5,17.7,0.4,0.9,0.1,1.6,2.4,77.2,86.3,2.0,3.7,85.3,21.7,5817,25.1,22135,77.5,7.2,133900,19718,2.70,24568,53255,10.6,877,10628,16.6,2971,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,191,331142,594.44,91.8
01003,0,182265,29.8,140415,6.1,23.0,16.8,51.1,85.7,9.4,0.7,0.7,0.0,1.5,4.4,83.5,83.0,3.6,5.5,87.6,26.8,20396,25.8,104061,76.7,22.6,177200,69476,2.50,26469,50147,12.2,4812,52233,17.4,14175,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,696,1119082,1589.78,114.6
01005,0,27457,-5.4,29038,6.2,21.9,14.2,46.9,48.0,46.9,0.4,0.4,0.1,0.9,5.1,46.8,83.0,2.8,4.7,71.9,13.5,2327,23.8,11829,68.0,11.1,88200,9795,2.52,15875,33219,25.0,522,7990,-27.0,1527,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,10,240308,884.88,31.0
01007,0,22915,10.0,20826,6.0,22.7,12.7,46.3,75.8,22.0,0.3,0.1,0.1,0.9,1.8,75.0,90.5,0.7,1.5,74.5,10.0,1883,28.3,8981,82.9,6.6,81200,7441,3.02,19918,41770,12.6,318,2927,-14.0,1192,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,8,163201,622.58,36.8
01009,0,57322,12.3,51024,6.3,24.6,14.7,50.5,92.6,1.3,0.5,0.2,0.1,1.2,8.1,88.9,87.2,4.7,7.2,74.7,12.5,4072,33.2,23887,82.0,3.7,113700,20605,2.73,21070,45549,13.4,749,6968,-11.4,3501,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,18,294114,644.78,88.9
01011,0,10914,-6.8,11714,6.8,22.3,13.5,45.8,23.0,70.2,0.2,0.2,0.4,0.8,7.1,21.9,88.5,1.1,3.8,74.7,12.0,943,28.1,4493,76.9,9.9,66300,3732,2.85,20289,31602,25.3,120,1919,-18.5,390,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,1,108846,622.81,17.5
01013,0,20947,-2.1,21399,6.5,24.1,16.7,53.0,54.4,43.4,0.3,0.8,0.0,0.8,0.9,54.1,92.8,1.1,1.6,74.8,11.0,1675,25.1,9964,69.0,13.7,70200,8019,2.58,16916,30659,25.0,446,5400,2.1,1180,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,3,195055,776.83,27.0
01015,0,118572,5.6,112249,6.1,22.9,14.3,51.8,74.9,20.6,0.5,0.7,0.1,1.7,3.3,73.6,82.9,2.5,4.5,78.5,16.1,11757,22.1,53289,70.7,14.3,98200,46421,2.46,20574,38407,19.5,2444,38324,-5.6,6329,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,107,1830659,605.87,195.7
01017,0,34215,-6.5,36583,5.7,22.5,16.7,52.2,58.8,38.7,0.2,0.5,0.0,1.1,1.6,58.1,86.2,0.9,1.6,71.8,10.8,2893,23.6,17004,71.4,8.7,82200,13681,2.51,16626,31467,20.3,568,6241,-45.8,2074,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,10,294718,596.53,57.4
01019,0,25989,8.3,23988,5.3,21.4,17.9,50.4,92.7,4.6,0.5,0.2,0.0,1.5,1.2,92.1,88.1,0.5,1.4,73.4,10.5,2172,26.2,16267,77.5,4.3,97100,11352,2.22,21322,40690,17.6,350,3600,5.4,1627,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,6,184642,553.70,46.9
01021,0,43643,10.2,39593,6.9,25.1,13.6,50.5,84.1,9.7,0.4,0.3,0.1,1.2,7.8,81.1,88.1,4.0,6.0,75.9,12.2,3317,32.0,19278,75.1,4.4,103700,16563,2.59,20517,39486,18.4,744,7048,3.3,2786,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,22,276001,692.85,63.0
