"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"0400000US01","Alabama","5024279",
"0400000US02","Alaska","733391",
"0400000US04","Arizona","7151502",
"0400000US05","Arkansas","3011524",
"0400000US06","California","39538223",
"0400000US08","Colorado","5773714",
"0400000US09","Connecticut","3605944",
"0400000US10","Delaware","989948",
"0400000US11","District of Columbia","689545",
"0400000US12","Florida","21538187",
"0400000US13","Georgia","10711908",
"0400000US15","Hawaii","1455271",
"0400000US16","Idaho","1839106",
"0400000US17","Illinois","12812508",
"0400000US18","Indiana","6785528",
"0400000US19","Iowa","3190369",
"0400000US20","Kansas","2937880",
"0400000US21","Kentucky","4505836",
"0400000US22","Louisiana","4657757",
"0400000US23","Maine","1362359",
"0400000US24","Maryland","6177224",
"0400000US25","Massachusetts","7029917",
"0400000US26","Michigan","10077331",
"0400000US27","Minnesota","5706494",
"0400000US28","Mississippi","2961279",
"0400000US29","Missouri","6154913",
"0400000US30","Montana","1084225",
"0400000US31","Nebraska","1961504",
"0400000US32","Nevada","3104614",
"0400000US33","New Hampshire","1377529",
"0400000US34","New Jersey","9288994",
"0400000US35","New Mexico","2117522",
"0400000US36","New York","20201249",
"0400000US37","North Carolina","10439388",
"0400000US38","North Dakota","779094",
"0400000US39","Ohio","11799448",
"0400000US40","Oklahoma","3959353",
"0400000US41","Oregon","4237256",
"0400000US42","Pennsylvania","13002700",
"0400000US44","Rhode Island","1097379",
"0400000US45","South Carolina","5118425",
"0400000US46","South Dakota","886667",
"0400000US47","Tennessee","6910840",
"0400000US48","Texas","29145505",
"0400000US49","Utah","3271616",
"0400000US50","Vermont","643077",
"0400000US51","Virginia","8631393",
"0400000US53","Washington","7705281",
"0400000US54","West Virginia","1793716",
"0400000US55","Wisconsin","5893718",
"0400000US56","Wyoming","576851",
"0400000US72","Puerto Rico","3285874",
